Data,Rozboje,Bójki i pobicia,Kradzieże z włamaniem,Kradzieże,Wypadki drogowe,Zabici w wypadkach,Ranni w wypadkach,Nietrzeźwi kierujący,Kolizje drogowe
2009-06-22,11,4,60.0,114,19,0,24,28,183
2009-06-23,7,0,57.0,101,10,0,12,31,159
2009-06-24,6,5,76.0,88,13,1,17,20,154
2009-06-25,4,0,70.0,110,12,1,16,39,141
2009-06-26,10,4,76.0,104,10,0,38,43,174
2009-06-27,6,2,69.0,57,16,1,44,49,1
2009-06-28,9,8,38.0,52,9,1,15,43,79
2009-06-29,9,2,71.0,128,13,1,14,45,139
2009-06-30,6,1,79.0,117,13,1,15,29,137
2009-07-01,7,2,54.0,93,12,1,16,35,141
2009-07-02,9,3,49.0,110,12,1,14,40,152
2009-07-03,5,3,75.0,114,14,1,17,41,150
2009-07-04,4,4,53.0,82,12,1,19,59,95
2009-07-05,8,6,33.0,61,14,0,19,58,78
2009-07-06,8,6,33.0,61,15,2,20,58,78
2009-07-07,5,4,54.0,105,16,0,21,42,163
2009-07-08,7,7,68.0,104,10,0,14,26,214
2009-07-09,10,5,63.0,108,16,0,17,32,141
2009-07-10,4,4,71.0,106,19,0,23,52,179
2009-07-11,5,8,45.0,67,6,2,14,61,88
2009-07-12,3,2,30.0,53,15,2,28,53,71
2009-07-13,7,2,52.0,146,14,2,16,45,141
2009-07-14,3,3,49.0,129,11,0,14,32,128
2009-07-15,12,2,52.0,109,12,0,16,45,179
2009-07-16,2,2,71.0,106,18,1,23,43,136
2009-07-17,7,2,51.0,107,9,0,10,48,169
2009-07-18,11,4,35.0,90,22,0,25,52,109
2009-07-19,2,7,38.0,50,13,0,25,47,104
2009-07-20,6,3,64.0,133,18,0,18,43,158
2009-07-21,2,4,61.0,102,13,0,16,46,115
2009-07-22,5,5,53.0,121,8,0,9,44,142
2009-07-23,6,1,57.0,125,6,0,6,42,136
2009-07-24,8,0,39.0,119,18,1,18,31,132
2009-07-25,5,1,52.0,80,19,0,28,38,114
2009-07-26,4,4,33.0,43,12,0,19,49,67
2009-07-27,7,1,55.0,136,13,0,14,30,146
2009-07-28,6,8,78.0,104,12,0,15,29,118
2009-07-29,9,2,50.0,124,13,0,20,23,127
2009-07-30,8,3,59.0,97,11,0,14,43,136
2009-07-31,6,4,64.0,94,11,0,11,36,126
2009-08-01,6,4,64.0,94,11,1,11,36,126
2009-08-02,7,9,34.0,58,11,1,28,55,82
2009-08-03,8,4,55.0,124,15,1,15,33,115
2009-08-04,8,4,55.0,124,15,1,15,33,115
2009-08-05,6,5,82.0,111,17,2,23,32,117
2009-08-06,9,4,61.0,100,13,0,19,67,155
2009-08-07,8,5,60.0,102,18,0,18,60,150
2009-08-08,5,3,39.0,69,14,3,15,61,124
2009-08-09,3,5,37.0,55,10,5,15,50,94
2009-08-10,9,4,64.0,124,11,2,12,30,151
2009-08-11,5,5,50.0,119,16,0,28,33,241
2009-08-12,10,3,44.0,91,14,0,28,33,154
2009-08-13,4,4,45.0,98,9,1,9,39,140
2009-08-14,6,3,60.0,128,14,0,18,32,161
2009-08-15,3,4,45.0,47,16,0,20,58,73
2009-08-16,8,7,44.0,58,9,0,10,57,76
